gradNa_node1_x,gradNa_node1_y,gradNa_node2_x,gradNa_node2_y,gradNa_node3_x,gradNa_node3_y,qpWeight
-1.90960368361997332443e+01,4.01251352295231740186e+01,-1.45803961867310150069e+01,-2.73073990659736622888e+01,3.36764330229307518039e+01,-1.28177361635495117298e+01,4.51873866499999832669e-04
-3.36764330229307518039e+01,1.28177361635495099534e+01,1.90960368361997332443e+01,-4.01251352295231740186e+01,1.45803961867310185596e+01,2.73073990659736622888e+01,4.51873866499999778459e-04
-1.90960368361997332443e+01,4.01251352295231740186e+01,-1.45803961867310150069e+01,-2.73073990659736622888e+01,3.36764330229307518039e+01,-1.28177361635495117298e+01,4.51873866499999832669e-04
-1.90973881249493295797e+01,4.01256495495125022899e+01,-1.45794765591477695210e+01,-2.73077490894967240820e+01,3.36768646840970973244e+01,-1.28179004600157782079e+01,4.51868074499999666013e-04
-3.36764330229307873310e+01,1.28177361635495863368e+01,1.90960368361997545605e+01,-4.01251352295232166512e+01,1.45803961867310327705e+01,2.73073990659736303144e+01,4.51873866499999290568e-04
-1.45794765591477588629e+01,-2.73077490894967027657e+01,3.36768646840970760081e+01,-1.28179004600158350513e+01,-1.90973881249493189216e+01,4.01256495495125378170e+01,4.51868074500000099693e-04
-3.36775078365352911192e+01,1.28192517918929471676e+01,1.90977528421476456799e+01,-4.01264158592502440115e+01,1.45797549943876454392e+01,2.73071640673572986202e+01,4.51859445000000103845e-04
-3.36768646840970973244e+01,1.28179004600157817606e+01,1.90973881249493295797e+01,-4.01256495495125022899e+01,1.45794765591477677447e+01,2.73077490894967205293e+01,4.51868074499999720223e-04
-1.90960368361997545605e+01,4.01251352295232166512e+01,-1.45803961867310309941e+01,-2.73073990659736303144e+01,3.36764330229307873310e+01,-1.28177361635495863368e+01,4.51873866499999398989e-04
-3.36764330229307518039e+01,1.28177361635495099534e+01,1.90960368361997332443e+01,-4.01251352295231740186e+01,1.45803961867310185596e+01,2.73073990659736622888e+01,4.51873866499999778459e-04
-1.90960368361997332443e+01,4.01251352295231740186e+01,-1.45803961867310150069e+01,-2.73073990659736622888e+01,3.36764330229307518039e+01,-1.28177361635495117298e+01,4.51873866499999832669e-04
-1.90980312867646908614e+01,4.01258943461765156258e+01,-1.45799675667426011927e+01,-2.73075622049237516364e+01,3.36779988535072902778e+01,-1.28183321412527639893e+01,4.51852857000000082081e-04
-1.90966799442628207828e+01,4.01253800057282887792e+01,-1.45808872190028466775e+01,-2.73072121720082634511e+01,3.36775671632656639076e+01,-1.28181678337200253281e+01,4.51858649000000194527e-04
-3.36775671632656994348e+01,1.28181678337201034878e+01,1.90966799442628420991e+01,-4.01253800057283385172e+01,1.45808872190028573357e+01,2.73072121720082350294e+01,4.51858648999999706636e-04
-1.90964015017862607237e+01,4.01259014752158549300e+01,-1.45806746198306598217e+01,-2.73068140144327884400e+01,3.36770761216169205454e+01,-1.28190874607830664900e+01,4.51865237499999617982e-04
-1.90960368361997190334e+01,4.01251352295232024403e+01,-1.45803961867310025724e+01,-2.73073990659736409725e+01,3.36764330229307233822e+01,-1.28177361635495614678e+01,4.51873866500000212140e-04
9.46353034041757901207e+00,3.80591029821205921735e+01,-3.14360322393717055434e+01,8.11014237433871443272e+00,2.19725018989541283077e+01,-4.61692453564593066062e+01,3.92718136500001043388e-04
