node1,node2,node3,Fxx,Fxy,Fyx,Fyy,Pxx,Pxy,Pyx,Pyy
144,441,443,1.2359651387116815,-0.16495735433050429,-0.15998655158079345,1.240381674958237,1.9658040676951907,0.006740834369553611,0.014632218736486124,1.9655135718218253
441,442,443,1.2411300056844987,-0.17580991957765324,-0.17032375219170781,1.2621024946217858,2.1011528776048678,0.025730520465267415,0.034932377572927581,2.0974772688393113
441,199,442,1.2371213156579204,-0.18331773328076917,-0.1803281501432874,1.2433654120501076,1.9576275332572739,0.0077267402149935882,0.012445146848604149,1.9572811655050766
443,442,201,1.2184205911218351,-0.16716638883035939,-0.16125233152055607,1.2586497810665183,1.9664678586347333,0.0059594706520398333,0.015343206819466604,1.9638584170736193
199,444,442,1.2433198767351485,-0.1963423259533581,-0.1920265680394504,1.2679464601535102,2.1106983504356482,0.031074223918830524,0.038321378436883491,2.1062979553043326
444,445,442,1.2181799611439788,-0.1867737114566248,-0.18090892606944209,1.2637149252568243,1.960758456760582,0.0057645818277514693,0.015025149371341029,1.958183791635147
444,200,445,1.2235222867274116,-0.19799850736786073,-0.19272934279012333,1.2885508816588214,2.112440555812773,0.030060559304798284,0.038898327690266521,2.100963770813931
442,445,201,1.2232409165606586,-0.17729440675654562,-0.17179109981587004,1.2807928574146796,2.1030957781654709,0.025689970181333344,0.034912281349321117,2.0931045951170586
199,446,444,1.2386924935111274,-0.20500888060051503,-0.2026279401194504,1.2480913139470662,1.9529121735106605,0.0077480737821983836,0.01148723249457273,1.9524686679671563
446,447,444,1.2453481506124207,-0.21899393642762011,-0.21566426173503306,1.2754836033633339,2.1209035998682357,0.036661239346245489,0.042256860610479063,2.1154320990832725
446,153,447,1.2405605839541494,-0.22796049615741421,-0.22693840863155224,1.2543684275828673,1.9504729540469197,0.0083016586808079551,0.0098995171602943022,1.9499204818663387
444,447,200,1.2178920124411556,-0.20854373420728267,-0.20240141211352736,1.2704355714916247,1.9562998714843927,0.0051361875937590007,0.014787971540097422,1.9537523630362372
201,445,449,1.2016246715535761,-0.16906695211018219,-0.16108345608792085,1.2767173737628168,1.9686609354657647,0.00441217385419862,0.017079742297733791,1.9637725996666018
445,448,449,1.2058086271874875,-0.17785815614291778,-0.17163429754536708,1.2988864902844242,2.1031996638511039,0.024590961820236179,0.035003906925430095,2.0873281822901992
445,200,448,1.199863228163248,-0.18899275105224289,-0.1797841706935408,1.283623337097004,1.9640624300017868,0.0033572966759269351,0.017904580269477666,1.9592332310360479
449,448,180,1.1863595144705439,-0.17045554330529411,-0.15918351732287306,1.2941475437394141,1.9754269251308103,0.0024138096366830286,0.020333647488745943,1.967988778784453
